Heavyweight,1,489762,Andy Ruiz Jr*,http://boxrec.com/en/proboxer/489762,755.1,30,33,1,0
Heavyweight,2,468841,Deontay Wilder*,http://boxrec.com/en/proboxer/468841,622.5,33,41,0,1
Heavyweight,3,659461,Anthony Joshua*,http://boxrec.com/en/proboxer/659461,604.1,29,22,1,0
Heavyweight,4,479205,Tyson Fury,http://boxrec.com/en/proboxer/479205,549.6,31,29,0,1
Heavyweight,5,318081,Alexander Povetkin,http://boxrec.com/en/proboxer/318081,483.3,40,35,2,0
Heavyweight,6,569964,Dillian Whyte,http://boxrec.com/en/proboxer/569964,421.0,31,26,1,0
Heavyweight,7,498837,Jarrell Miller,http://boxrec.com/en/proboxer/498837,367.4,31,23,0,1
Heavyweight,8,528949,Luis Ortiz*,http://boxrec.com/en/proboxer/528949,363.7,40,31,1,0
Heavyweight,9,511850,Kubrat Pulev*,http://boxrec.com/en/proboxer/511850,339.6,38,27,1,0
Heavyweight,10,512994,Adam Kownacki,http://boxrec.com/en/proboxer/512994,247.3,30,20,0,0
Heavyweight,11,613846,Joseph Parker*,http://boxrec.com/en/proboxer/613846,226.2,27,26,2,0
Heavyweight,12,381739,Dereck Chisora*,http://boxrec.com/en/proboxer/381739,193.8,35,31,9,0
Heavyweight,13,813758,Filip Hrgovic,http://boxrec.com/en/proboxer/813758,177.3,27,9,0,0
Heavyweight,14,629462,Dominic Breazeale,http://boxrec.com/en/proboxer/629462,169.1,34,20,2,0
Heavyweight,15,503964,Oscar Rivas,http://boxrec.com/en/proboxer/503964,151.5,32,26,1,0
Heavyweight,16,475159,Christian Hammer,http://boxrec.com/en/proboxer/475159,143.5,32,24,6,0
Heavyweight,17,621653,Gerald Washington,http://boxrec.com/en/proboxer/621653,135.3,37,20,3,1
Heavyweight,18,631078,Charles Martin,http://boxrec.com/en/proboxer/631078,125.1,33,27,2,1
Heavyweight,19,811429,Joe Joyce,http://boxrec.com/en/proboxer/811429,124.9,34,10,0,0
Heavyweight,20,483755,David Price,http://boxrec.com/en/proboxer/483755,123.5,36,25,6,0
Heavyweight,21,768670,Evgeny Romanov,http://boxrec.com/en/proboxer/768670,122.0,34,14,0,0
Heavyweight,22,640268,Michael Hunter,http://boxrec.com/en/proboxer/640268,121.9,31,18,1,0
Heavyweight,23,14883,Tomasz Adamek,http://boxrec.com/en/proboxer/14883,116.9,42,53,6,0
Heavyweight,24,643611,Hughie Fury,http://boxrec.com/en/proboxer/643611,115.0,25,23,3,0
Heavyweight,25,280342,Marco Huck,http://boxrec.com/en/proboxer/280342,97.00,34,41,5,1
Heavyweight,26,804221,Efe Ajagba,http://boxrec.com/en/proboxer/804221,91.55,25,11,0,0
Heavyweight,27,355273,Carlos Takam,http://boxrec.com/en/proboxer/355273,89.66,38,37,5,1
Heavyweight,28,787430,Daniel Dubois*,http://boxrec.com/en/proboxer/787430,86.93,22,12,0,0
Heavyweight,29,575332,Agit Kabayel,http://boxrec.com/en/proboxer/575332,74.53,27,19,0,0
Heavyweight,30,733157,Simon Kean,http://boxrec.com/en/proboxer/733157,72.73,30,17,1,0
Heavyweight,31,741417,Petar Milas,http://boxrec.com/en/proboxer/741417,71.67,24,14,0,0
Heavyweight,32,473857,Artur Szpilka*,http://boxrec.com/en/proboxer/473857,66.70,30,22,4,0
Heavyweight,33,630710,David Allen,http://boxrec.com/en/proboxer/630710,63.44,27,17,5,2
Heavyweight,34,451505,Robert Helenius,http://boxrec.com/en/proboxer/451505,59.91,35,28,3,0
Heavyweight,35,387871,Eric Molina,http://boxrec.com/en/proboxer/387871,59.80,37,27,5,0
Heavyweight,36,489046,Lucas Browne*,http://boxrec.com/en/proboxer/489046,55.14,40,28,2,0
Heavyweight,37,529630,Bryant Jennings,http://boxrec.com/en/proboxer/529630,54.74,35,24,4,0
Heavyweight,38,324806,Bermane Stiverne,http://boxrec.com/en/proboxer/324806,52.85,40,25,4,1
Heavyweight,39,681602,Martin Bakole Ilunga,http://boxrec.com/en/proboxer/681602,51.12,"",13,1,0
Heavyweight,40,212248,Chris Arreola,http://boxrec.com/en/proboxer/212248,50.52,38,38,6,1
Heavyweight,41,545749,Erkan Teper,http://boxrec.com/en/proboxer/545749,47.94,37,20,3,0
Heavyweight,42,703923,Sergey Kuzmin,http://boxrec.com/en/proboxer/703923,45.86,32,15,1,0
Heavyweight,43,734408,Lukasz Rozanski,http://boxrec.com/en/proboxer/734408,45.47,33,11,0,0
Heavyweight,44,795843,Tony Yoka*,http://boxrec.com/en/proboxer/795843,44.89,27,6,0,0
Heavyweight,45,775950,Ali Eren Demirezen,http://boxrec.com/en/proboxer/775950,44.71,29,11,1,0
Heavyweight,46,651121,Otto Wallin,http://boxrec.com/en/proboxer/651121,42.77,28,20,1,0
Heavyweight,47,219370,Andrey Fedosov,http://boxrec.com/en/proboxer/219370,42.03,33,31,3,0
Heavyweight,48,309799,Mariusz Wach,http://boxrec.com/en/proboxer/309799,38.89,39,34,5,0
Heavyweight,49,601830,Mario Heredia*,http://boxrec.com/en/proboxer/601830,36.92,26,16,7,1
Heavyweight,50,32364,Samuel Peter,http://boxrec.com/en/proboxer/32364,35.01,39,38,8,0
Heavyweight,51,512687,Joey Dawejko,http://boxrec.com/en/proboxer/512687,34.87,29,20,7,4
Heavyweight,52,763287,Mladen Miljas,http://boxrec.com/en/proboxer/763287,33.81,26,12,0,0
Heavyweight,53,79357,Alexander Dimitrenko,http://boxrec.com/en/proboxer/79357,33.20,37,41,6,0
